# avg nc=129.42257742257743
0,132
100,135
200,130
300,132
400,140
500,129
600,135
700,139
800,142
900,142
1000,139
1100,141
1200,137
1300,140
1400,132
1500,131
1600,144
1700,133
1800,126
1900,129
2000,142
2100,132
2200,126
2300,133
2400,128
2500,138
2600,129
2700,120
2800,139
2900,125
3000,144
3100,133
3200,141
3300,134
3400,131
3500,128
3600,133
3700,131
3800,135
3900,122
4000,133
4100,139
4200,135
4300,133
4400,132
4500,137
4600,130
4700,116
4800,136
4900,130
5000,138
5100,124
5200,132
5300,131
5400,124
5500,136
5600,136
5700,127
5800,128
5900,124
6000,133
6100,130
6200,130
6300,126
6400,134
6500,126
6600,129
6700,137
6800,128
6900,125
7000,131
7100,124
7200,127
7300,131
7400,128
7500,125
7600,135
7700,131
7800,131
7900,118
8000,134
8100,135
8200,141
8300,130
8400,132
8500,134
8600,127
8700,138
8800,137
8900,136
9000,132
9100,132
9200,121
9300,133
9400,128
9500,129
9600,131
9700,134
9800,129
9900,128
10000,120
10100,129
10200,124
10300,125
10400,131
10500,130
10600,131
10700,125
10800,122
10900,132
11000,127
11100,126
11200,122
11300,128
11400,120
11500,138
11600,134
11700,123
11800,134
11900,128
12000,125
12100,128
12200,132
12300,125
12400,127
12500,127
12600,127
12700,129
12800,132
12900,127
13000,116
13100,131
13200,130
13300,126
13400,131
13500,128
13600,134
13700,135
13800,131
13900,136
14000,140
14100,132
14200,134
14300,130
14400,132
14500,124
14600,123
14700,137
14800,132
14900,127
15000,132
15100,126
15200,124
15300,133
15400,137
15500,124
15600,135
15700,128
15800,137
15900,134
16000,131
16100,138
16200,129
16300,133
16400,142
16500,137
16600,133
16700,127
16800,129
16900,127
17000,131
17100,126
17200,126
17300,127
17400,126
17500,132
17600,129
17700,133
17800,130
17900,125
18000,131
18100,130
18200,121
18300,129
18400,125
18500,131
18600,128
18700,142
18800,131
18900,135
19000,133
19100,134
19200,128
19300,128
19400,121
19500,130
19600,131
19700,120
19800,130
19900,128
20000,135
20100,131
20200,124
20300,138
20400,133
20500,126
20600,136
20700,126
20800,129
20900,128
21000,132
21100,128
21200,137
21300,132
21400,136
21500,126
21600,131
21700,129
21800,135
21900,132
22000,134
22100,130
22200,130
22300,137
22400,140
22500,120
22600,138
22700,131
22800,132
22900,132
23000,126
23100,132
23200,137
23300,129
23400,127
23500,137
23600,126
23700,119
23800,135
23900,139
24000,133
24100,136
24200,138
24300,138
24400,130
24500,126
24600,129
24700,121
24800,134
24900,127
25000,125
25100,126
25200,130
25300,127
25400,127
25500,127
25600,122
25700,130
25800,131
25900,126
26000,122
26100,132
26200,130
26300,131
26400,129
26500,129
26600,129
26700,135
26800,134
26900,122
27000,128
27100,131
27200,130
27300,127
27400,125
27500,128
27600,131
27700,132
27800,128
27900,130
28000,137
28100,129
28200,126
28300,126
28400,129
28500,132
28600,132
28700,124
28800,133
28900,129
29000,133
29100,129
29200,133
29300,138
29400,133
29500,134
29600,120
29700,133
29800,128
29900,135
30000,134
30100,135
30200,141
30300,132
30400,133
30500,133
30600,126
30700,128
30800,139
30900,138
31000,134
31100,135
31200,136
31300,137
31400,135
31500,129
31600,133
31700,137
31800,133
31900,134
32000,129
32100,124
32200,129
32300,139
32400,129
32500,136
32600,130
32700,130
32800,122
32900,128
33000,119
33100,120
33200,124
33300,130
33400,130
33500,124
33600,115
33700,126
33800,131
33900,126
34000,130
34100,134
34200,132
34300,127
34400,141
34500,131
34600,130
34700,128
34800,123
34900,129
35000,131
35100,133
35200,137
35300,134
35400,131
35500,131
35600,128
35700,130
35800,124
35900,137
36000,115
36100,130
36200,127
36300,125
36400,122
36500,133
36600,129
36700,130
36800,128
36900,132
37000,125
37100,122
37200,131
37300,126
37400,119
37500,133
37600,121
37700,132
37800,126
37900,122
38000,126
38100,119
38200,133
38300,125
38400,130
38500,126
38600,119
38700,128
38800,117
38900,122
39000,129
39100,134
39200,125
39300,127
39400,126
39500,128
39600,123
39700,132
39800,122
39900,137
40000,129
40100,131
40200,132
40300,124
40400,134
40500,126
40600,131
40700,130
40800,125
40900,132
41000,132
41100,118
41200,136
41300,132
41400,133
41500,141
41600,133
41700,131
41800,135
41900,137
42000,135
42100,132
42200,130
42300,144
42400,128
42500,127
42600,127
42700,130
42800,128
42900,137
43000,140
43100,136
43200,127
43300,136
43400,134
43500,134
43600,121
43700,132
43800,134
43900,133
44000,125
44100,143
44200,129
44300,129
44400,126
44500,127
44600,131
44700,127
44800,135
44900,123
45000,123
45100,130
45200,126
45300,116
45400,120
45500,124
45600,124
45700,121
45800,118
45900,126
46000,126
46100,126
46200,126
46300,132
46400,118
46500,127
46600,123
46700,120
46800,123
46900,121
47000,123
47100,126
47200,133
47300,126
47400,130
47500,131
47600,133
47700,124
47800,125
47900,126
48000,127
48100,123
48200,127
48300,137
48400,118
48500,116
48600,127
48700,124
48800,133
48900,127
49000,126
49100,135
49200,126
49300,123
49400,120
49500,131
49600,126
49700,130
49800,132
49900,121
50000,140
50100,127
50200,127
50300,137
50400,127
50500,133
50600,136
50700,139
50800,140
50900,131
51000,133
51100,132
51200,126
51300,131
51400,124
51500,127
51600,119
51700,131
51800,135
51900,134
52000,125
52100,136
52200,127
52300,126
52400,126
52500,128
52600,129
52700,128
52800,129
52900,130
53000,132
53100,119
53200,133
53300,135
53400,130
53500,133
53600,142
53700,134
53800,131
53900,132
54000,127
54100,133
54200,128
54300,123
54400,129
54500,133
54600,127
54700,139
54800,132
54900,133
55000,127
55100,137
55200,121
55300,127
55400,117
55500,127
55600,124
55700,136
55800,129
