# t es lj full
14700,-1031.47,-516.285,-1547.75
14800,-926.423,-496.587,-1423.01
14900,-1054.23,-490.904,-1545.13
15000,-977.467,-440.322,-1417.79
15100,-955.109,-496.248,-1451.36
15200,-970.842,-504.527,-1475.37
15300,-959.446,-494.885,-1454.33
15400,-989.667,-490.415,-1480.08
15500,-792.466,-475.117,-1267.58
15600,-958.564,-453.828,-1412.39
15700,-904.093,-494.167,-1398.26
15800,-965.563,-456.46,-1422.02
15900,-824.076,-533.015,-1357.09
16000,-922.634,-487.838,-1410.47
16100,-745.107,-500.493,-1245.6
16200,-728.903,-479.702,-1208.6
16300,-831.323,-454.353,-1285.68
16400,-900.835,-537.099,-1437.93
16500,-823.102,-486.236,-1309.34
16600,-918.576,-509.201,-1427.78
16700,-801.048,-491.965,-1293.01
16800,-859.811,-490.138,-1349.95
16900,-781.854,-512.842,-1294.7
17000,-826.74,-514.19,-1340.93
17100,-878.451,-529.636,-1408.09
17200,-913.19,-453.444,-1366.63
17300,-831.3,-493.316,-1324.62
17400,-936.303,-484.76,-1421.06
17500,-980.142,-493.766,-1473.91
17600,-1073.27,-490.369,-1563.64
17700,-944.212,-502.128,-1446.34
17800,-1040.34,-454.496,-1494.84
17900,-902.365,-506.421,-1408.79
18000,-992.239,-503.609,-1495.85
18100,-1053.03,-502.415,-1555.44
18200,-1060.27,-521.814,-1582.08
18300,-891.434,-489.346,-1380.78
18400,-871.234,-475.372,-1346.61
18500,-864.239,-482.644,-1346.88
18600,-942.279,-483.53,-1425.81
18700,-817.062,-533.371,-1350.43
18800,-977.695,-513.145,-1490.84
18900,-1060.89,-490.599,-1551.49
19000,-940.465,-533.7,-1474.16
19100,-977.382,-505.531,-1482.91
19200,-950.104,-476.77,-1426.87
19300,-983.011,-514.745,-1497.76
19400,-974.585,-508.529,-1483.11
19500,-1072.15,-513.352,-1585.5
19600,-1010.55,-540.933,-1551.48
19700,-1091.8,-470.988,-1562.79
19800,-939.616,-507.311,-1446.93
19900,-766.838,-542.88,-1309.72
20000,-790.896,-508.178,-1299.07
20100,-694.19,-491.35,-1185.54
20200,-782.811,-518.239,-1301.05
20300,-747.95,-492.07,-1240.02
20400,-693.235,-477.781,-1171.02
20500,-746.683,-456.429,-1203.11
20600,-670.032,-520.015,-1190.05
20700,-710.231,-529.02,-1239.25
20800,-732.359,-493.548,-1225.91
20900,-854.075,-534.6,-1388.67
21000,-804.342,-501.185,-1305.53
21100,-762.499,-502.455,-1264.95
21200,-768.182,-524.14,-1292.32
21300,-758.311,-500.899,-1259.21
21400,-768.036,-495.857,-1263.89
21500,-694.676,-504.57,-1199.25
21600,-802.269,-476.377,-1278.65
21700,-854.876,-514.082,-1368.96
21800,-911.491,-465.898,-1377.39
21900,-882.976,-508.181,-1391.16
22000,-785.177,-521.909,-1307.09
22100,-898.876,-477.645,-1376.52
22200,-921.504,-472.891,-1394.4
22300,-935.312,-505.177,-1440.49
22400,-853.449,-504.977,-1358.43
22500,-1008.92,-507.654,-1516.57
22600,-960.192,-487.717,-1447.91
22700,-998.394,-485.299,-1483.69
22800,-1062.61,-505.068,-1567.68
22900,-976.873,-509.883,-1486.76
23000,-933.842,-493.919,-1427.76
23100,-1071.67,-502.141,-1573.81
23200,-983.364,-488.874,-1472.24
23300,-847.946,-490.218,-1338.16
23400,-825.083,-506.242,-1331.33
23500,-910.215,-475.942,-1386.16
23600,-1006.86,-492.301,-1499.16
23700,-924.082,-516.167,-1440.25
23800,-1062.6,-504.002,-1566.6
23900,-1078.51,-479.504,-1558.01
24000,-1036.2,-488.291,-1524.49
24100,-1068.78,-498.622,-1567.4
24200,-1021.62,-511.581,-1533.2
24300,-1026.08,-483.381,-1509.46
24400,-899.263,-478.836,-1378.1
24500,-934.199,-497.807,-1432.01
24600,-1035.85,-527.004,-1562.85
24700,-928.683,-503.426,-1432.11
24800,-937.321,-520.986,-1458.31
24900,-996.451,-523.083,-1519.53
25000,-977.366,-485.215,-1462.58
25100,-1005,-512.183,-1517.18
25200,-883.986,-526.278,-1410.26
25300,-896.604,-526.699,-1423.3
25400,-790.93,-511.702,-1302.63
25500,-690.889,-506.605,-1197.49
25600,-827.74,-511.062,-1338.8
25700,-738.323,-527.462,-1265.79
25800,-874.803,-524.099,-1398.9
25900,-810.457,-491.424,-1301.88
26000,-758.272,-529.462,-1287.73
26100,-726.657,-499.184,-1225.84
26200,-859.029,-508.521,-1367.55
26300,-778.466,-537.144,-1315.61
26400,-751.804,-510.973,-1262.78
26500,-785.72,-500.964,-1286.68
26600,-774.963,-501.683,-1276.65
26700,-810.073,-523.006,-1333.08
26800,-771.249,-518.5,-1289.75
26900,-854.158,-464.876,-1319.03
